TIME;European Union - 27 countries (from 2020);Euro area - 19 countries  (from 2015);Denmark
1990-01;-2.2;-2.2;-3.5
;;;
1990-02;-2.5;-2.5;-4.6
;;;
1990-03;-3.4;-3.4;-2.8
;;;
1990-04;-2.4;-2.3;-2.8
;;;
1990-05;-2.6;-2.6;-2.8
;;;
1990-06;-2.4;-2.4;-5.5
;;;
1990-07;-2.4;-2.3;-5.5
;;;
1990-08;-3.0;-2.9;-5.5
;;;
1990-09;-8.2;-8.2;-5.6
;;;
1990-10;-9.3;-9.4;-6.0
;;;
1990-11;-8.0;-8.0;-5.5
;;;
1990-12;-7.5;-7.6;-5.1
;;;
1991-01;-9.8;-10.0;-2.1
;;;
1991-02;-10.6;-10.7;-3.5
;;;
1991-03;-7.6;-7.8;0.1
;;;
1991-04;-7.9;-8.0;-0.5
;;;
1991-05;-6.7;-6.8;-2.4
;;;
1991-06;-7.7;-7.8;-1.1
;;;
1991-07;-10.1;-10.3;-1.1
;;;
1991-08;-10.7;-10.9;-1.3
;;;
1991-09;-9.3;-9.4;-2.0
;;;
1991-10;-10.7;-10.9;-2.8
;;;
1991-11;-10.5;-10.8;2.1
;;;
1991-12;-10.6;-10.8;-0.5
;;;
1992-01;-10.8;-11.1;1.9
;;;
1992-02;-10.4;-10.4;-2.1
;;;
1992-03;-11.0;-11.0;-0.5
;;;
1992-04;-11.8;-11.9;1.5
;;;
1992-05;-11.9;-12.1;3.4
;;;
1992-06;-11.8;-12.0;0.5
;;;
1992-07;-11.9;-12.0;0.5
;;;
1992-08;-13.0;-13.1;1.1
;;;
1992-09;-15.0;-15.1;-2.1
;;;
1992-10;-17.2;-17.4;-1.4
;;;
1992-11;-18.0;-18.2;-5.0
;;;
1992-12;-18.7;-18.9;-2.4
;;;
1993-01;-18.5;-18.8;-1.9
;;;
1993-02;-18.5;-18.6;-2.9
;;;
1993-03;-19.2;-19.3;-2.9
;;;
1993-04;-16.8;-16.9;-2.1
;;;
1993-05;-16.3;-16.5;0.8
;;;
1993-06;-18.1;-18.3;0.8
;;;
1993-07;-18.3;-18.5;0.8
;;;
1993-08;-18.1;-18.2;-0.8
;;;
1993-09;-17.7;-17.8;-1.3
;;;
1993-10;-19.3;-19.5;-2.3
;;;
1993-11;-19.9;-20.1;0.3
;;;
1993-12;-18.1;-18.4;0.8
;;;
1994-01;-17.3;-17.7;3.9
;;;
1994-02;-15.8;-16.1;6.6
;;;
1994-03;-14.4;-14.8;3.8
;;;
1994-04;-11.7;-12.1;8.3
;;;
1994-05;-8.9;-9.2;7.1
;;;
1994-06;-7.4;-7.6;8.0
;;;
1994-07;-7.8;-8.0;8.0
;;;
1994-08;-7.4;-7.5;7.4
;;;
1994-09;-6.8;-6.8;6.6
;;;
1994-10;-8.1;-8.1;4.1
;;;
1994-11;-8.7;-8.7;4.1
;;;
1994-12;-9.0;-9.0;4.9
;;;
1995-01;-8.4;-8.3;6.4
;;;
1995-02;-8.8;-8.8;5.9
;;;
1995-03;-9.2;-9.2;6.3
;;;
1995-04;-8.3;-8.1;5.9
;;;
1995-05;-6.8;-6.7;7.0
;;;
1995-06;-6.8;-6.6;4.9
;;;
1995-07;-7.5;-7.4;4.9
;;;
1995-08;-7.9;-7.8;6.6
;;;
1995-09;-9.2;-9.2;6.0
;;;
1995-10;-11.1;-11.2;3.9
;;;
1995-11;-11.5;-11.6;6.0
;;;
1995-12;-12.5;-12.7;3.6
;;;
1996-01;-12.2;-12.4;6.8
;;;
1996-02;-13.1;-13.2;2.4
;;;
1996-03;-12.6;-12.6;2.8
;;;
1996-04;-12.7;-12.9;4.8
;;;
1996-05;-11.4;-11.5;3.1
;;;
1996-06;-11.3;-11.3;2.1
;;;
1996-07;-12.3;-12.4;3.5
;;;
1996-08;-11.6;-11.8;1.5
;;;
1996-09;-12.0;-12.1;3.0
;;;
1996-10;-13.3;-13.6;4.8
;;;
1996-11;-13.9;-14.2;3.4
;;;
1996-12;-13.5;-13.7;3.0
;;;
1997-01;-11.4;-11.5;6.6
;;;
1997-02;-12.4;-12.6;5.0
;;;
