 Tid, maaned ; Consmuer price index (2015=100) 
199001; 60.80 
199002; 61.00 
199003; 61.20 
199004; 61.20 
199005; 61.60 
199006; 61.50 
199007; 61.30 
199008; 61.90 
199009; 62.40 
199010; 62.60 
199011; 62.50 
199012; 62.30 
199101; 62.30 
199102; 62.50 
199103; 62.60 
199104; 62.80 
199105; 63.20 
199106; 63.30 
199107; 63.10 
199108; 63.20 
199109; 63.60 
199110; 63.70 
199111; 64.00 
199112; 63.80 
199201; 63.70 
199202; 64.00 
199203; 64.20 
199204; 64.30 
199205; 64.80 
199206; 64.80 
199207; 64.50 
199208; 64.60 
199209; 64.80 
199210; 64.80 
199211; 64.90 
199212; 64.70 
199301; 64.60 
199302; 64.80 
199303; 64.90 
199304; 65.00 
199305; 65.40 
199306; 65.40 
199307; 65.20 
199308; 65.40 
199309; 65.60 
199310; 65.70 
199311; 65.80 
199312; 65.70 
199401; 65.80 
199402; 66.00 
199403; 66.10 
199404; 66.30 
199405; 66.60 
199406; 66.70 
199407; 66.60 
199408; 66.80 
199409; 66.90 
199410; 67.00 
199411; 67.20 
199412; 67.20 
199501; 67.20 
199502; 67.50 
199503; 67.70 
199504; 67.90 
199505; 68.20 
199506; 68.10 
199507; 67.80 
199508; 67.90 
199509; 68.30 
199510; 68.30 
199511; 68.50 
199512; 68.40 
199601; 68.40 
199602; 68.70 
199603; 69.10 
199604; 69.30 
199605; 69.50 
199606; 69.50 
199607; 69.40 
199608; 69.50 
199609; 69.90 
199610; 70.00 
199611; 70.10 
199612; 70.00 
199701; 70.20 
199702; 70.20 
199703; 70.20 
199704; 70.50 
199705; 71.00 
199706; 71.10 
199707; 71.00 
199708; 71.30 
199709; 71.50 
199710; 71.50 
199711; 71.60 
199712; 71.50 
199801; 71.40 
199802; 71.70 
199803; 71.90 
199804; 72.00 
199805; 72.40 
199806; 72.40 
199807; 72.20 
199808; 72.30 
199809; 72.60 
199810; 72.70 
199811; 72.80 
199812; 72.70 
199901; 72.60 
199902; 73.20 
199903; 73.50 
199904; 73.70 
199905; 73.90 
199906; 74.10 
199907; 73.90 
199908; 74.30 
199909; 74.70 
