 Tid, maaned ; Consumer price index (2015=100) ;;;;;;;
 1990M01 ; 60.80 ;;;;;;;
 1990M02 ; 61.00 ;;;;;;;
 1990M03 ; 61.20 ;;;;;;;
 1990M04 ; 61.20 ;;;;;;;
 1990M05 ; 61.60 ;;;;;;;
 1990M06 ; 61.50 ;;;;;;;
 1990M07 ; 61.30 ;;;;;;;
 1990M08 ; 61.90 ;;;;;;;
 1990M09 ; 62.40 ;;;;;;;
 1990M10 ; 62.60 ;;;;;;;
 1990M11 ; 62.50 ;;;;;;;
 1990M12 ; 62.30 ;;;;;;;
 1991M01 ; 62.30 ;;;;;;;
 1991M02 ; 62.50 ;;;;;;;
 1991M03 ; 62.60 ;;;;;;;
 1991M04 ; 62.80 ;;;;;;;
 1991M05 ; 63.20 ;;;;;;;
 1991M06 ; 63.30 ;;;;;;;
 1991M07 ; 63.10 ;;;;;;;
 1991M08 ; 63.20 ;;;;;;;
 1991M09 ; 63.60 ;;;;;;;
 1991M10 ; 63.70 ;;;;;;;
 1991M11 ; 64.00 ;;;;;;;
 1991M12 ; 63.80 ;;;;;;;
 1992M01 ; 63.70 ;;;;;;;
 1992M02 ; 64.00 ;;;;;;;
 1992M03 ; 64.20 ;;;;;;;
 1992M04 ; 64.30 ;;;;;;;
 1992M05 ; 64.80 ;;;;;;;
 1992M06 ; 64.80 ;;;;;;;
 1992M07 ; 64.50 ;;;;;;;
 1992M08 ; 64.60 ;;;;;;;
 1992M09 ; 64.80 ;;;;;;;
 1992M10 ; 64.80 ;;;;;;;
 1992M11 ; 64.90 ;;;;;;;
 1992M12 ; 64.70 ;;;;;;;
 1993M01 ; 64.60 ;;;;;;;
 1993M02 ; 64.80 ;;;;;;;
 1993M03 ; 64.90 ;;;;;;;
 1993M04 ; 65.00 ;;;;;;;
 1993M05 ; 65.40 ;;;;;;;
 1993M06 ; 65.40 ;;;;;;;
 1993M07 ; 65.20 ;;;;;;;
 1993M08 ; 65.40 ;;;;;;;
 1993M09 ; 65.60 ;;;;;;;
 1993M10 ; 65.70 ;;;;;;;
 1993M11 ; 65.80 ;;;;;;;
 1993M12 ; 65.70 ;;;;;;;
 1994M01 ; 65.80 ;;;;;;;
 1994M02 ; 66.00 ;;;;;;;
 1994M03 ; 66.10 ;;;;;;;
 1994M04 ; 66.30 ;;;;;;;
 1994M05 ; 66.60 ;;;;;;;
 1994M06 ; 66.70 ;;;;;;;
 1994M07 ; 66.60 ;;;;;;;
 1994M08 ; 66.80 ;;;;;;;
 1994M09 ; 66.90 ;;;;;;;
 1994M10 ; 67.00 ;;;;;;;
 1994M11 ; 67.20 ;;;;;;;
 1994M12 ; 67.20 ;;;;;;;
 1995M01 ; 67.20 ;;;;;;;
 1995M02 ; 67.50 ;;;;;;;
 1995M03 ; 67.70 ;;;;;;;
 1995M04 ; 67.90 ;;;;;;;
