Tid;Eksport, mia. kr., løbende priser
1990K1;74.1
1990K2;77.8
1990K3;76
1990K4;83.7
1991K1;77.2
1991K2;85.1
1991K3;86.3
1991K4;87
1992K1;84.4
1992K2;85.8
1992K3;84.6
1992K4;86.3
1993K1;79.2
1993K2;81.7
1993K3;87.2
1993K4;91.3
1994K1;84.2
1994K2;91.7
1994K3;93.5
1994K4;96.6
1995K1;94.2
1995K2;93.9
1995K3;94.2
1995K4;97.7
1996K1;96.1
1996K2;101.4
1996K3;101.2
1996K4;105.1
1997K1;99.1
1997K2;109.2
1997K3;109.7
1997K4;115.4
1998K1;108.7
1998K2;104.6
1998K3;114.9
1998K4;113.5
1999K1;113.2
1999K2;117.4
1999K3;123.4
1999K4;135.1
2000K1;130.8
2000K2;140.7
2000K3;155.2
2000K4;168.9
2001K1;155.1
2001K2;156.2
2001K3;154.6
2001K4;159.4
2002K1;153.1
2002K2;161.7
2002K3;161.2
2002K4;169.2
2003K1;154.3
2003K2;153.6
2003K3;158.7
2003K4;163.9
2004K1;154.4
2004K2;166.1
2004K3;167.6
2004K4;174
2005K1;168.5
2005K2;188.4
2005K3;195
2005K4;200.7
2006K1;198.1
2006K2;210.9
2006K3;217.7
2006K4;226.8
2007K1;211.7
2007K2;217
2007K3;227.5
2007K4;239
2008K1;231.1
2008K2;250.7
2008K3;254.7
2008K4;239.5
2009K1;199.3
2009K2;197.3
2009K3;206.9
2009K4;208
2010K1;207.6
2010K2;227.9
2010K3;240.4
2010K4;239
2011K1;240.7
2011K2;246.8
2011K3;252.5
2011K4;254
2012K1;247.8
2012K2;261.9
2012K3;265.9
2012K4;259.6
2013K1;252.1
2013K2;266.7
2013K3;272.3
2013K4;266.9
2014K1;258.5
2014K2;267.1
2014K3;277.4
2014K4;279
2015K1;281.1
2015K2;282.8
2015K3;285.7
2015K4;278.9
2016K1;265.4
2016K2;282.6
2016K3;279.4
2016K4;298.7
2017K1;293.6
2017K2;303.4
2017K3;306.5
2017K4;304.3
2018K1;296.8
2018K2;311.9
2018K3;327.8
2018K4;332
2019K1;323.2
2019K2;339.5
2019K3;350.3
2019K4;348.9
2020K1;332.4
2020K2;293.3
2020K3;317.6
2020K4;319.6
