TIME;GEO (Labels);European Union - 27 countries (from 2020);European Union - 28 countries (2013-2020);Denmark
1990-Q1;;:;:;:
;;;;
1990-Q2;;:;:;:
;;;;
1990-Q3;;:;:;:
;;;;
1990-Q4;;:;:;:
;;;;
1991-Q1;;:;:;:
;;;;
1991-Q2;;:;:;:
;;;;
1991-Q3;;:;:;:
;;;;
1991-Q4;;:;:;:
;;;;
1992-Q1;;:;:;:
;;;;
1992-Q2;;:;:;2,842
;;;;
1992-Q3;;:;:;2,857
;;;;e
1992-Q4;;:;:;2,847
;;;;e
1993-Q1;;:;:;2,842
;;;;e
1993-Q2;;:;:;2,823
;;;;
1993-Q3;;:;:;2,823
;;;;e
1993-Q4;;:;:;2,802
;;;;e
1994-Q1;;:;:;2,783
;;;;e
1994-Q2;;:;:;2,741
;;;;
1994-Q3;;:;:;2,776
;;;;e
1994-Q4;;:;:;2,780
;;;;e
1995-Q1;;:;:;2,778
;;;;e
1995-Q2;;:;:;2,775
;;;;
1995-Q3;;:;:;2,802
;;;;e
1995-Q4;;:;:;2,803
;;;;e
1996-Q1;;:;:;2,798
;;;;e
1996-Q2;;:;:;2,791
;;;;
1996-Q3;;:;:;2,815
;;;;e
1996-Q4;;:;:;2,813
;;;;e
1997-Q1;;:;:;2,811
;;;;e
1997-Q2;;:;:;2,801
;;;;
1997-Q3;;:;:;2,817
;;;;e
1997-Q4;;:;:;2,804
;;;;e
1998-Q1;;:;:;2,797
;;;;e
1998-Q2;;:;:;2,793
;;;;
1998-Q3;;:;:;2,817
;;;;e
1998-Q4;;:;:;2,817
;;;;e
1999-Q1;;:;:;2,832
;;;;b
1999-Q2;;:;:;2,839
;;;;
1999-Q3;;:;:;2,867
;;;;
1999-Q4;;:;:;2,821
;;;;
2000-Q1;;190,692;219,034;2,825
;;;;
2000-Q2;;192,275;220,677;2,823
;;;;
2000-Q3;;193,672;222,391;2,824
;;;;
2000-Q4;;192,867;221,469;2,827
;;;;
2001-Q1;;192,137;220,644;2,809
;;;;
2001-Q2;;193,206;221,669;2,798
;;;;
2001-Q3;;194,593;223,381;2,856
;;;;
2001-Q4;;193,328;222,112;2,862
;;;;
2002-Q1;;192,852;221,470;2,805
;;;;
2002-Q2;;194,459;223,170;2,822
;;;;
2002-Q3;;195,817;224,840;2,828
;;;;
2002-Q4;;194,862;223,896;2,806
;;;;
2003-Q1;;194,220;223,089;2,797
;;;;
2003-Q2;;195,815;224,737;2,819
;;;;
2003-Q3;;196,816;226,035;2,845
;;;;
2003-Q4;;195,857;225,032;2,819
;;;;
2004-Q1;;195,981;225,130;2,829
;;;;
2004-Q2;;196,995;226,108;2,856
;;;;
2004-Q3;;198,620;227,967;2,890
;;;;
2004-Q4;;198,442;227,898;2,835
;;;;
2005-Q1;;198,048;227,529;2,840
;;;;
2005-Q2;;199,539;228,912;2,831
;;;;
2005-Q3;;200,242;229,961;2,854
;;;;
2005-Q4;;200,378;230,140;2,858
;;;;
2006-Q1;;200,030;229,855;2,856
;;;;
2006-Q2;;201,329;231,262;2,862
;;;;
2006-Q3;;202,598;232,867;2,899
;;;;
2006-Q4;;202,167;232,322;2,884
;;;;
2007-Q1;;201,101;231,129;2,882
;;;;
2007-Q2;;202,721;232,798;2,875
;;;;
2007-Q3;;204,481;234,908;2,880
;;;;
2007-Q4;;203,911;234,322;2,837
;;;;
