Tid;BNP, mia. kr., loebende priser
1990K1;210.2
1990K2;218.1
1990K3;209.5
1990K4;217.8
1991K1;220.2
1991K2;226.1
1991K3;219.6
1991K4;224.6
1992K1;228.1
1992K2;231.1
1992K3;227.1
1992K4;236.7
1993K1;227.8
1993K2;232.7
1993K3;227.8
1993K4;240.2
1994K1;238.3
1994K2;252.4
1994K3;242.8
1994K4;259.8
1995K1;254.3
1995K2;261.5
1995K3;252.8
1995K4;267.8
1996K1;260.8
1996K2;275.2
1996K3;269.6
1996K4;282.5
1997K1;273.9
1997K2;291.8
1997K3;281.8
1997K4;298.6
1998K1;288.4
1998K2;294.3
1998K3;293.8
1998K4;309.5
1999K1;296.3
1999K2;310
1999K3;306.6
1999K4;328.6
2000K1;316.9
2000K2;330.4
2000K3;327.4
2000K4;352.2
2001K1;329.5
2001K2;342.1
2001K3;340.5
2001K4;359.5
2002K1;337.8
2002K2;355
2002K3;350
2002K4;367.4
2003K1;347.3
2003K2;356.8
2003K3;354.6
2003K4;378.1
2004K1;360.6
2004K2;375.3
2004K3;373.2
2004K4;397
2005K1;372.7
2005K2;401.1
2005K3;395.8
2005K4;416.5
2006K1;399.6
2006K2;427.5
2006K3;421.5
2006K4;433.7
2007K1;416.1
2007K2;431.8
2007K3;432.7
2007K4;458.3
2008K1;432.8
2008K2;456.7
2008K3;454.3
2008K4;457.7
2009K1;420.8
2009K2;426.6
2009K3;429.2
2009K4;445.5
2010K1;430.5
2010K2;454.6
2010K3;455.8
2010K4;470
2011K1;449.7
2011K2;466.6
2011K3;456.5
2011K4;474
2012K1;457.6
2012K2;477.7
2012K3;474.1
2012K4;485.6
2013K1;464.3
2013K2;487.5
2013K3;482.2
2013K4;495.7
2014K1;479.6
2014K2;495.2
2014K3;493.7
2014K4;512.7
2015K1;495.9
2015K2;513.5
2015K3;505.9
2015K4;521.1
2016K1;504.8
2016K2;534.1
2016K3;521.5
2016K4;547.4
2017K1;530.6
2017K2;558.4
2017K3;541.1
2017K4;562.9
2018K1;536.5
2018K2;570.4
2018K3;561
2018K4;585.7
2019K1;560.1
2019K2;589.5
2019K3;582.2
2019K4;603.2
2020K1;576.2
2020K2;558.6
2020K3;572.7
2020K4;596.9
