TIME;European Union - 27 countries (from 2020);Euro area - 19 countries  (from 2015);Denmark
1990-01;4.1;4.9;-10.7
;;;
1990-02;3.7;4.5;-10.7
;;;
1990-03;4.7;5.6;-10.7
;;;
1990-04;3.8;4.7;-13.4
;;;
1990-05;1.3;2.0;-13.4
;;;
1990-06;0.2;0.8;-13.4
;;;
1990-07;0.5;1.5;-13.7
;;;
1990-08;0.0;0.9;-13.7
;;;
1990-09;0.1;1.0;-13.7
;;;
1990-10;-3.1;-2.1;-12.1
;;;
1990-11;-4.9;-4.0;-12.1
;;;
1990-12;-4.7;-3.7;-12.1
;;;
1991-01;-7.7;-6.7;-18.7
;;;
1991-02;-9.3;-8.5;-18.7
;;;
1991-03;-9.9;-9.2;-18.7
;;;
1991-04;-9.9;-9.3;-15.7
;;;
1991-05;-11.3;-10.8;-15.7
;;;
1991-06;-12.4;-11.9;-15.7
;;;
1991-07;-12.1;-11.7;-15.7
;;;
1991-08;-11.2;-10.8;-15.7
;;;
1991-09;-12.9;-12.6;-15.7
;;;
1991-10;-13.8;-13.5;-12.4
;;;
1991-11;-14.7;-14.5;-12.4
;;;
1991-12;-14.7;-14.5;-12.4
;;;
1992-01;-12.6;-12.3;-15.7
;;;
1992-02;-11.7;-11.3;-15.7
;;;
1992-03;-11.9;-11.6;-15.7
;;;
1992-04;-13.1;-13.0;-15.7
;;;
1992-05;-14.4;-14.3;-15.7
;;;
1992-06;-15.8;-16.1;-15.7
;;;
1992-07;-17.8;-17.8;-16.4
;;;
1992-08;-18.8;-19.0;-16.4
;;;
1992-09;-21.5;-22.0;-16.4
;;;
1992-10;-26.3;-27.2;-17.1
;;;
1992-11;-29.8;-30.7;-17.1
;;;
1992-12;-29.8;-30.7;-17.1
;;;
1993-01;-28.5;-29.4;-29.1
;;;
1993-02;-27.3;-28.4;-29.1
;;;
1993-03;-26.2;-27.2;-29.1
;;;
1993-04;-27.0;-28.3;-17.1
;;;
1993-05;-27.4;-28.6;-17.1
;;;
1993-06;-28.3;-29.4;-17.1
;;;
1993-07;-27.9;-29.2;-17.1
;;;
1993-08;-25.5;-26.9;-17.1
;;;
1993-09;-23.9;-25.2;-17.1
;;;
1993-10;-23.1;-24.6;-6.7
;;;
1993-11;-21.8;-23.2;-6.7
;;;
1993-12;-20.3;-21.6;-6.7
;;;
1994-01;-15.5;-16.5;-5.7
;;;
1994-02;-12.3;-13.1;-5.7
;;;
1994-03;-9.7;-10.5;-5.7
;;;
1994-04;-6.6;-7.4;5.3
;;;
1994-05;-6.7;-7.5;5.3
;;;
1994-06;-6.6;-7.3;5.3
;;;
1994-07;-4.0;-4.6;5.9
;;;
1994-08;-1.8;-2.5;5.9
;;;
1994-09;-0.1;-0.6;5.9
;;;
1994-10;0.7;0.3;8.3
;;;
1994-11;0.4;-0.2;8.3
;;;
1994-12;2.2;1.9;8.3
;;;
1995-01;4.1;3.6;-0.4
;;;
1995-02;5.7;5.2;-0.4
;;;
1995-03;4.6;3.8;-0.4
;;;
1995-04;3.3;2.6;-4.1
;;;
1995-05;1.1;0.2;-4.1
;;;
1995-06;-1.8;-2.6;-4.1
;;;
1995-07;-2.4;-3.0;-6.1
;;;
1995-08;-3.1;-4.0;-6.1
;;;
1995-09;-5.5;-6.5;-6.1
;;;
1995-10;-7.5;-8.6;-4.7
;;;
1995-11;-10.2;-11.4;-4.7
;;;
1995-12;-10.7;-11.9;-4.7
;;;
1996-01;-10.9;-12.0;-22.7
;;;
1996-02;-11.9;-13.3;-22.7
;;;
1996-03;-12.6;-13.7;-22.7
;;;
1996-04;-12.4;-14.0;-16.1
;;;
1996-05;-13.6;-15.3;-16.1
;;;
1996-06;-14.7;-16.2;-16.1
;;;
1996-07;-14.0;-15.0;-14.7
;;;
1996-08;-12.2;-13.2;-14.7
;;;
1996-09;-11.3;-12.4;-14.7
;;;
1996-10;-10.7;-11.9;-9.4
;;;
1996-11;-13.1;-14.2;-9.4
;;;
1996-12;-12.3;-12.9;-9.4
;;;
1997-01;-7.1;-7.3;-8.1
;;;
1997-02;-5.3;-5.9;-8.1
;;;
1997-03;-4.4;-5.0;-8.1
;;;
1997-04;-4.0;-4.5;-1.1
;;;
1997-05;-3.6;-4.1;-1.1
;;;
1997-06;-3.3;-3.7;-1.1
;;;
1997-07;-1.1;-1.3;-1.7
;;;
1997-08;0.1;-0.4;-1.7
;;;
1997-09;2.0;1.8;-1.7
;;;
1997-10;0.4;0.4;-1.4
;;;
1997-11;-1.2;-1.4;-1.4
;;;
1997-12;0.5;0.5;-1.4
;;;
1998-01;2.4;3.3;-4.4
;;;
1998-02;3.1;3.7;-2.7
;;;
1998-03;4.3;5.2;-4.1
;;;
1998-04;2.7;3.5;-6.1
;;;
1998-05;0.3;1.0;-5.7
;;;
1998-06;0.2;0.8;-4.1
;;;
1998-07;-0.6;0.0;-4.1
;;;
1998-08;-1.5;-0.9;-6.4
;;;
1998-09;-4.1;-3.6;-10.1
;;;
1998-10;-10.1;-9.6;-17.7
;;;
1998-11;-12.2;-11.2;-30.7
;;;
1998-12;-12.0;-10.6;-34.7
;;;
1999-01;-11.2;-9.6;-31.7
;;;
1999-02;-10.0;-8.8;-27.1
;;;
1999-03;-9.8;-8.5;-24.7
;;;
1999-04;-9.6;-8.6;-25.4
;;;
1999-05;-9.8;-9.0;-23.1
;;;
1999-06;-8.7;-7.9;-23.4
;;;
1999-07;-6.5;-5.8;-19.1
;;;
