Tid;Import, mia. kr., loebende priser
1990K1;63.8
1990K2;66.7
1990K3;64
1990K4;69.6
1991K1;65.2
1991K2;71.7
1991K3;70.8
1991K4;72.5
1992K1;69.9
1992K2;70.8
1992K3;67.5
1992K4;69.1
1993K1;66.5
1993K2;64.5
1993K3;66.7
1993K4;71.9
1994K1;72.6
1994K2;76.3
1994K3;76.1
1994K4;82.2
1995K1;82.9
1995K2;81
1995K3;80.1
1995K4;87.2
1996K1;82.7
1996K2;84.4
1996K3;83.6
1996K4;91.5
1997K1;89.4
1997K2;95.9
1997K3;96.7
1997K4;101.5
1998K1;102.5
1998K2;98.5
1998K3;100.5
1998K4;103.6
1999K1;99.5
1999K2;99
1999K3;103.4
1999K4;112.7
2000K1;116.4
2000K2;122.5
2000K3;128.1
2000K4;139.6
2001K1;130.3
2001K2;133.9
2001K3;129.4
2001K4;133.8
2002K1;134.6
2002K2;138
2002K3;134.6
2002K4;141.3
2003K1;133.3
2003K2;129.3
2003K3;130.5
2003K4;139.6
2004K1;133.7
2004K2;142.4
2004K3;147.1
2004K4;153.9
2005K1;149.4
2005K2;165.1
2005K3;169
2005K4;181.7
2006K1;182.4
2006K2;194.1
2006K3;196.5
2006K4;211.6
2007K1;207.3
2007K2;207.1
2007K3;209.5
2007K4;221
2008K1;220.6
2008K2;234.8
2008K3;232.6
2008K4;224.5
2009K1;184.7
2009K2;178.9
2009K3;186.1
2009K4;184.4
2010K1;182.8
2010K2;200.1
2010K3;201.5
2010K4;204.8
2011K1;208.9
2011K2;218.7
2011K3;223
2011K4;225.3
2012K1;226.6
2012K2;231.4
2012K3;230.5
2012K4;232.7
2013K1;227.7
2013K2;232.9
2013K3;236.2
2013K4;233.7
2014K1;229.5
2014K2;235.5
2014K3;237.6
2014K4;241.4
2015K1;243.5
2015K2;247.2
2015K3;249.6
2015K4;250
2016K1;234.1
2016K2;247.1
2016K3;245.2
2016K4;258.8
2017K1;257.6
2017K2;259.7
2017K3;261.7
2017K4;271.4
2018K1;269.8
2018K2;292.7
2018K3;282.4
2018K4;291.2
2019K1;292.2
2019K2;293.6
2019K3;297.6
2019K4;306.9
2020K1;294.7
2020K2;258.9
2020K3;271.9
2020K4;286.5
