Tid;Privatforbrug, mia. kr., loebende priser
1990K1;101.7
1990K2;106.9
1990K3;105.4
1990K4;111.5
1991K1;107.8
1991K2;111.1
1991K3;109.6
1991K4;116.1
1992K1;112.8
1992K2;115.2
1992K3;112.9
1992K4;120.6
1993K1;111.7
1993K2;113.4
1993K3;113
1993K4;124.3
1994K1;120.4
1994K2;126.8
1994K3;125.1
1994K4;133.7
1995K1;126.4
1995K2;131.6
1995K3;128.5
1995K4;137.5
1996K1;131.9
1996K2;136.7
1996K3;133.8
1996K4;143.4
1997K1;136.1
1997K2;145.1
1997K3;138.6
1997K4;152.6
1998K1;142.7
1998K2;148
1998K3;146.4
1998K4;157.6
1999K1;146.8
1999K2;149.1
1999K3;148.9
1999K4;160.5
2000K1;152.1
2000K2;155.2
2000K3;153.3
2000K4;163.9
2001K1;155.9
2001K2;160.2
2001K3;157.4
2001K4;167.1
2002K1;161.1
2002K2;163.7
2002K3;162.4
2002K4;174.7
2003K1;165.3
2003K2;167
2003K3;165.8
2003K4;180.6
2004K1;172.4
2004K2;176.1
2004K3;175.6
2004K4;194.6
2005K1;180.4
2005K2;189.9
2005K3;186
2005K4;201.6
2006K1;194.4
2006K2;201.6
2006K3;193
2006K4;208.4
2007K1;199.3
2007K2;205.2
2007K3;201.2
2007K4;220
2008K1;209.5
2008K2;217.7
2008K3;210.4
2008K4;216.1
2009K1;202.7
2009K2;209
2009K3;205.6
2009K4;217.5
2010K1;211.3
2010K2;214.1
2010K3;211.3
2010K4;225.6
2011K1;215.9
2011K2;221.7
2011K3;216.1
2011K4;231.2
2012K1;223.2
2012K2;227.9
2012K3;222
2012K4;237.2
2013K1;226.5
2013K2;230.3
2013K3;224
2013K4;239.5
2014K1;228.5
2014K2;233.7
2014K3;227.7
2014K4;244.4
2015K1;233.9
2015K2;239.5
2015K3;234.7
2015K4;251.2
2016K1;241.4
2016K2;247.5
2016K3;237.5
2016K4;257.4
2017K1;251
2017K2;254
2017K3;244.9
2017K4;266.8
2018K1;259.2
2018K2;266.7
2018K3;255.2
2018K4;271.7
2019K1;265.9
2019K2;269.2
2019K3;259.6
2019K4;281.7
2020K1;261.8
2020K2;253.6
2020K3;254.2
2020K4;276.2
