LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag_Codes
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1990-Q1"",12.2348,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1990-Q2"",10.9534,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1990-Q3"",10.53897,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1990-Q4"",10.47517,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1991-Q1"",10.36,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1991-Q2"",9.758833,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1991-Q3"",9.669133,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1991-Q4"",9.685034,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1992-Q1"",10.18637,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1992-Q2"",10.32877,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1992-Q3"",11.53367,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1992-Q4"",14.7161,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1993-Q1"",15.04627,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1993-Q2"",9.328,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1993-Q3"",10.9752,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1993-Q4"",8.070434,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1994-Q1"",6.330033,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1994-Q2"",6.1125,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1994-Q3"",6.447433,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1994-Q4"",6.3187,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1995-Q1"",6.495167,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1995-Q2"",6.859267,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1995-Q3"",6.1087,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1995-Q4"",5.365567,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1996-Q1"",4.4451,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1996-Q2"",3.917067,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1996-Q3"",3.892467,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1996-Q4"",3.6625,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1997-Q1"",3.644367,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1997-Q2"",3.6424,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1997-Q3"",3.646967,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1997-Q4"",3.989167,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""1998-Q1"",3.8961,"
